עברית,אנגלית,רמז אנג,רמז אנג2,רמז אנג3,רמז עבר,רמז עבר2,רמז עבר3
לוחמי הגטאות,Lohame Hageta'ot,,,,,,
לוטן,Lotan,,,,,,
לוטם,Lotem,,,,לטם,,
לימן,Liman,,,,,,
לכיש,Lakhish,Lachish,,,,,
לפיד,Lappid,Lapid,,,,,
לפידות,Lappidot,Lapidot,,,,,
מאור,Ma'or,,,,,,
מאיר שפיה,Me'ir Shfeya,,,,,,
מבוא ביתר,Mevo Betar,Mavo Betar,,,,,
מבוא דותן,Mevo Dotan,Mavo Dotan,,,,,
מבוא חורון,Mevo Horon,Mavo Horon,,,,,
מבוא חמה,Mevo Hamma,Mavo Hamma,Mevo Hama,,,,
מודיעים,Mevo Modi'im,Mavo Modi'im,,,,,
מבואות ים,Mevo'ot Yam,,,,,,
מבועים,Mabu'im,,,,,,
מבטחים,Mivtahim,Mivtachim,,,,,
מבקיעים,Mavki'im,,,,,,
מבשרת ציון,Mevasseret Tsiyyon,Mevasert Zion,Mevasseret Zion,,,,
מגידו,Megiddo,Megido,,,מגדו,,
מגדים,Megadim,,,,,,
מגדל,Migdal,,,,,,
מגדל העמק,Migdal Ha'emek,,,,,,
מגדל עוז,Migdal Oz,,,,מגדל עז,,
מגדל תפן,Migdal Tefen,,,,,,
מגדלים,Migdalim,,,,מיגדלים,,
מגל,Maggal,Magal,,,,,
מגן,Magen,,,,,,
מגן שאול,Magen Sha'ul,,,,,,
מגשימים,Magshimim,,,,,,
מדרך עוז,Midrakh Oz,,,,,,
מדרשת בן גוריון,Midreshet Ben Gurion,,,,,,
מדרשת רופין,Midreshet Rupin,,,,,,
מודיעין,Modi'in,,,,,,
מודיעין עילית,Modi'in Illit,Modi'in ilit,,,מודיעין עלית,,
מולדת,Moledet,,,,,,
מוצא עילית,Motsa Illit,Motza Illit,Motza Ilit,,מוצא עלית,,
מורן,Moran,,,,,,
מורשת,Moreshet,,,,,,
מזור,Mazor,,,,,,
מזכרת בתיה,Mazkeret Batya,,,,,,
מזרע,Mizra,,,,,,
מחולה,Mehola,,,,,,
מחניים,Mahanayim,,,,מחנים,,
מחסיה,Mahseya,Machsiya,,,,,
מטולה,Metula,,,,,,
מטע,Matta,Mata,,,,,
מי עמי,Me Ammi,Mei Ami,,,,,
מיטב,Metav,,,,,,
מירון,Meron,,,,,,
מישר,Meshar,,,,,,
מיתר,Metar,,,,,,
מכבים-רעות,Makkabbim-Re'ut,Makabim-Re'ut,Macabim-Re'ut,,,,
מכורה,Mekhora,,,,,,
מכמנים,Mikhmanim,Michmanim,,,,,
מכמורת,Mikhmoret,Michmoret,,,מכמרת,,
מלאה,Mele'a,,,,,,
מלילות,Melilot,,,,,,
מלכיה,Malkiyya,Maklkia,,,מלכייה,,
מלכישוע ־,Malkishu'a,,,,,,
מנוחה,Menuha,Menucha,,,,,
מנוף,Manof,,,,,,
מנות,Manot,,,,,,
מנחמיה,Menahemya,Menachamia,,,,,
מנרה,Menara,Manara,,,,,
מסד,Massad,Masad,,,,,
מסדה,Massada,Masada,,,,,
מסלול,Maslul,,,,,,
מסילות,Mesillot,Mesilot,,,מסלות,,
מסילת ציון,Mesillat Tsiyon,Mesilat Zion,Mesillat Zion,,מסלת ציון,,
מעברות,Ma'barot,,,,,,
מעגלים,Ma'galim,,,,,,
מעגן,Ma'agan,,,,,,
מעגן מיכאל,Ma'agan Mikha'el,Magan Michael,Ma'agan Michael,,,,
מעון,Ma'on,,,,,,
מעונה,Me'ona,,,,,,
מעוז חיים,Ma'oz Hayyim,Maoz Haim,,,מעז חיים,,
מעיין ברוך,Ma'yan Barukh,Ma'yan Baruch,,,מעין ברוך,,
מעיין צבי,Ma'yan Tsevi,Ma'yan Zvi,,,מעין צבי,,
מעלה אדומים,Ma’aLe Adummim,Ma’aLe Adumim,,,מעלה אדמים,,
מעלה אפרים,Ma'ale Efrayim,,,,,,
מעלה גלבוע,Ma'ale Gilbo'a,,,,מעלה גלבע,מעלה גילבוע,
מעלה גמלא,Ma'ale Gamla,,,,,,
מעלה החמישה,Ma'ale Hahamisha,,,,מעלה החמשה,,
מעלה לבונה,Ma'ale Levona,,,,,,
מעלה מכמש,Ma'ale Mikhmash,Ma'ale Michmash,,,,,
מעלה עירון,Ma'ale Iron,Ma'ale Yiron,,,,,
מעלה עמוס,Ma'ale Amos,,,,,,
מעלה שומרון,Ma’aie Shomron,,,,,,
מעלות-תרשיחא,Ma'alot-Tarshiha,,,,,,
מענית,Ma'anit,,,,,,
מעש,Ma'as,,,,,,
מפלסים,Mefalsim,,,,,,
מצדות יהודה,Metsadot Yehuda,Mezadot Yehuda,,,,,
מצובה,Matsuva,Mazuva,,,,,
מצליח,Matsli'ah,Mazliach,,,,,
מצפה,Mitspe,Mizpe,,,,,
"מצפה אבי""ב",Mitspe Aviv,Mizpe Aviv,,,,,
מצפה יריחו,Mitspe Yeriho,Mizpe Yericho,Mizpe Yeriho,,,,
מצפה נטופה,Mitspe Netofa,Mizpe Netofa,,,,,
מצפה רמון,Mitspe Ramon,Mizpe Ramon,,,,,
מצפה שלם,Mitspe Shalem,Mizpe Shalem,,,,,
מצר,Metser,,,,,,
מיצר,Meitsar,,,,,,
מקווה ישראל,Mikve Yisra'el,,,,מקוה ישראל,,
מירב,Merav,,,,מרב,,
מרגליות,Margaliyyot,Margaliot,,,,,
מרום גולן,Merom Golan,,,,,,
מרחב עם,Merhav Am,,,,,,
מרחביה (מושב),Merhavya,,,,,,
מרחביה (קבוץ),Merhavya (Kibuts),,,,,,
הרטוב - מרכז אזורי,Regional Center Har Tuv,,,,,,
כדורי מרכז אזורי,Regional Centre Kadduri,,,,,,
שוהם מרכז אזורי,Regional Center Shoham,,,,שהם מרכז אזורי,,
מרכז שפירא,Shapira Center,,,,,,
משאבי שדה,Mash'abe Sade,,,,,,
משגב דב,Misgav Dov,,,,,,
משגב עם,Misgav Am,,,,,,
משואה,Massu'a,,,,,,
משואות יצחק,Massu'ot Yits'hak,Masuot Yizhak,,,,,
משכיות,Maskiyot,,,,,,
משמר איילון,Mishmar Ayyalon,Mishmar Ayalon,,,משמר אילון,,
משמר דוד,Mishmar David,,,,,,
משמר הירדן,Mishmar Hayarden,,,,,,
משמר הנגב,Mishmar Hanegev,,,,,,
משמר העמק,Mishmar Ha’emek,,,,,,
משמר השבעה,Mishmar Hashiv'a,,,,,,
משמר השרון,Mishmar Hasharon,,,,,,
משמרות,Mishmarot,,,,,,
משמרת,Mishmoret,,,,,,
משען,Mash'en,,,,,,
מתן,Mattan,Matan,,,,,
מתת,Mattat,Matat,,,,,
מתתיהו,Mattityahu,Matityahu,,,,,
נאות גולן,Ne'ot Golan,,,,,,
נאות הכיכר,Ne'ot Hakikkar,,,,נאות הככר,,
נאות מרדכי,Ne’ot Mordekhai,,,,,,
נאות סמדר,Ne'ot Semadar,,,,,,
נבטים,Nevatim,,,,,,
נגבה,Negba,,,,,,
נוגה,Noga,,,,נגה,,
נגוהות,Negohot,,,,,,
נהורה,Nehora,,,,,,
נהלל,Nahalal,,,,,,
נהריה,Nahariyya,Nahariya,,,נהרייה,,
נוב,Nov,,,,,,
נווה אבות,Neve Avot,,,,נוה אבות,,
נווה אור,Neve Or,,,,נוה אור,,
נווה אטיב,Neve Ativ,,,,"נוה אטי""ב",,
נווה אילן,Neve Ilan,,,,נוה אילן,,
נווה איתן,Neve Etan,Neve Eitan,,,נוה איתן,,
נווה אפעל,Neve Efal,,,,נוה אפעל ,,
נווה אפרים,Neve Efrayim,,,,נוה אפרים,נווה מונסון,נוה מונסון
נווה דניאל,Neve Daniyyel,Neve Daniel,,,נוה דניאל,,
נווה זוהר,Neve Zohar,,,,נוה זהר,,
נווה זיו,Neve Ziv,,,,נוה זיו,,
נווה חריף,Neve Harif,,,,נוה חריף,,
נווה ים,Neve Yam,,,,נוה ים,,
נווה ים,Neve Yamin,,,,נוה ים,,
נווה ירק,Neve Yarak,,,,נוה ירק,,
נווה מבטח,Neve Mivtah,,,,נוה מבטח,,
נווה מיכאל,Neve Mikha'el,Neve Michael,,,נוה מיכאל,,
נווה שלום,Neve Shalom,,,,נוה שלום,,
נווה תמרים,Neve Temarim,Neve Tmarim,,,נוה תמרים,,
נוף איילון,Nof Ayyalon,Nof Ayalon,,,נוף אילון,,
נופים,Nofim,,,,,,
נופית,Nofit,,,,,,
נוקדים,Nokdim,,,,,,
נורדייה,Nordiyya,Nordia,,,נורדיה,,
נורית,Nurit,,,,,,
נחושה,Nehusha,,,,,,
נחל עוז,Nahal Oz,,,,נחל עז,,
נחלה,Nahala,,,,,,
נחליאל,Nahali'el,,,,,,
נחלים,Nehalim,Nechalim,,,,,
נחם,Naham,Nacham,,,,,
נחשולים,Nahsholim,Nachsholim,,,,,
נחשון,Nahshon,Nachshon,,,,,
נחשונים,Nahshonim,Nachshonim,,,,,
נטועה,Netu'a,,,,,,
נתור,Natur,,,,,,
נטעים,Neta'im,,,,,,
נטף,Nataf,,,,,,
"ניל""י",Nili,,,,,,
ניר אליהו,Nir Eliyahu,,,,,,
ניר בנים,Nir Banim,,,,,,
ניר גלים,Nir Gallim,,,,,,
"ניר ח""ן",Nir Hen,Nir Chen,,,,,
ניר יפה,Nir Yafe,,,,,,
ניר יצחק,Nir Yits'hak,Nir Tizhak,,,,,
ניר ישראל,Nir Yisra'el,,,,,,
ניר משה,Nir Moshe,,,,,,
ניר עוז,Nir Oz,,,,ניר עז,,
ניר עם,Nir Am,,,,,,
ניר עציון,Nir Etsyon,Nir Ezion,,,,,
ניר עקיבא,Nir Akiva,,,,,,
ניר צבי,Nir Tsevi,Nir Zvi,,,,,
נירים,Nirim,,,,,,
נירית,Nirit,,,,,,
נירן,Niran,,,,,,
נמרוד,Nimrod,,,,,,
נס הרים,Nes Harim,,,,,,
נס עמים,Nes Ammim,Nes Amim,,,,,
נס ציונה,Nes Tsiyyona,Nes Ziona,,,,,
נעורים,Ne'urim,,,,,,
נעלה,Na'ale,,,,,,
נועם,No’am,,,,נעם,,
"נעמ""ה",Na'ama,,,,,,
נען,Na'an,,,,,,
נופך,Nofekh,,,,נפך,,
ניצן,Nitsan,Nizan,,,,,
ניצנה (קהילת חינוך),Nitsana,Nizana,,,נצנה (קהילת חנוך),,
ניצני סיני,Nitsane Sinai,Nizanei Sinai,,,נצני סיני,,
ניצני עוז,Nitsane Oz,Nizanei Oz,,,נצני עז,,
ניצנים,Nitsanim,Nizanim,,,,,
נצר סרני,Netser Sereni,Nezer Sereni,,,,,
נצרת,Nazareth,Nasra ,Natsrat,,,,
נצרת עילית,Natsrat Illit,Nazrat Ilit,Nazrat Illit,,נצרת עלית,,
נשר,Nesher,,,,,,
נתיד הגדוד,Netiv Hagdud,,,,,,
"נתיב הל""ה",Netiv Halamed He,,,,,,
נתיב העשרה,Netiv Ha'asara,,,,,,
נתיב השיירה,Netiv Hashayyara,,,,,,
נתיבות,Netivot,,,,,,
נתניה,Netanya,,,,,,
סאסא,Sasa,,,,,,
סביון,Savyon,,,,,,
סגולה,Segulla,Sgula,,,,,
סוסיה,Susya,,,,סוסיא,,
סופה,Sufa,,,,,,
סלעית,Sal'it,,,,,,
סמר,Samar,,,,,,
סנסנה,Sansanna,Sansana,,,,,
סעד,Sa'ad,,,,,,
סער,Sa'ar,,,,,,
ספיר,Sapir,,,,,,
סתריה,Sitriyya,Sitriya,,,,,
עבדון,Avdon,,,,,,
עברון,Evron,,,,,,
עין כרמל,En Karmel,Ein Karmel,Ein Carmel,,,,
עין נקובא,En Nakuba,Ein Nakuba,,,,,
עין עירון,En Iron,Ein Iron,,,,,
עין צורים,En Tsurim,Ein Tsurim,Ein Zurim,,,,
עין שמר,En Shemer,Ein Shemer,,,,,
עין שריד,En Sarid,Ein Sarid,,,,,
עין תמר,En Tamar,Ein Tamar,,,,,
עיינות,Ayanot,,,,עינות,,
עינת,Enat,Einat,,,,,
עיר אובות,Ir Ovot,,,,,,
עכו,Acre,Akko,Aka,,,,
עלומים,Alumim,,,,,,
עלי,Eli,,,,,,
עלי זהב,Ale Zahav,Alei Zahav,,,,,
עלמה,Alma,,,,,,
עלמון,Almon,,,,,,
עולש,Olesh,,,,עלש,,
עמינדב,Amminadav,Aminadav,,,,,
עמיעד,Ammiad,Amiad,,,,,
עמיעוז,Ammi-Oz,Amioz,,,עמיעז,,
עמיקם,Ammikam,Amikam,,,,,
עמיר,Amir,,,,,,
עמנואל,Immanu'el,,,,,,
עמקה,Amka,,,,,,
עמוקה,Amukka,Amuka,,,,,
עומר,Omer,,,,עמר,,
ענב,Enav,,,,,,
עפולה,Afula,,,,,,
עופר,Ofer,,,,עפר,,
עופרה,Ofra,,,,עפרה,,
עופרים,Ofarim,,,,עפרים,,
עץ אפרים,Ets Efrayim,Ez Efrayim,,,,,
עוצם,Otsem,Ozem,,,עצם,,
ערד,Arad,,,,,,
ערוגות,Arugot,,,,,,
ערערה בנגב,Ar'ara BaNegev,,,,,,
עשרת,Aseret,,,,,,
עתלית,Atlit,,,,,,
עתניאל,Atni'el,,,,,,
פארן,Paran,,,,,,
פדואל,Pedu'el,,,,,,
פדויים,Peduyim,,,,,,
פדיה,Pedaya,,,,,,
פורייה - כפר עבודה,Poriyya ־ Kefar Avoda,Poriya - Kfar Avoda,,,,,
פורייה - נווה עובד,Poriyya - Neve Oved,Poriya - Neve Oved,,,פוריה - נוה עובד,,
פורייה עילית,Poriyya Illit,Poriya Ilit,,,פוריה עלית,,
פורת,Porat,,,,,,
פטיש,Pattish,Patish,,,,,
פלך,Pelekh,Pelech,,,,,
פלמחים,Palmahim,Palmachim,,,,,
פני חבר,Pene Hever,Penei Hever,Penei Chever,,,,
פסגות,Pesagot,Psagot,,,,,
"פעמי תש""ז",Pa'ame Tashaz,,,,,,
פצאל,Petsa’el,Pazael,,,,,
פקיעין החדשה,Peki'in Hahadasha,,,,,,
פרדס חנה - כרכור,Pardes Hanna - Karkur,,,,,,
פרדיסיה,Pardesiyya,Pardesiya,,,פרדסייה,,
פרוד,Parod,,,,,,
פרזון,Prazon,,,,,,
פרי־גן,Peri-Gan,,,,,,
פתח תקווה,Petah Tikva,Petah Tikwa,,,פתח תקוה,,
פתחיה,Petahya,Petachya,,,,,
צאלים,Tse’elim,Zeelim,,,,,
צביה,Tseviyya,Zvia,Tsviya,Zviya,,,
צבעון,Tsiv'on,Zivon,,,,,
צובה,Tsova,Zova,,,,,
צופיה,Tsofiyya,Zofiya,,,צופייה,,
צופים,Tsufim,Zufim,,,,,
צופית,Tsofit,Zofim,,,,,
צופר,Tsofar,Zofar,,,,,
צוקי ים,Tsuke Yam,Zukei Yam,,,,,
צוקים,Tsukim,Zukim,,,,,
צור הדסה,Tsur Hadassa,Zur Hadasa,,,,,
צור יגאל,Tsur Yig'al,Zur Yigal,,,,,
צור יצחק,Tsur Yits'hak,Zur Yitzhak,,,,,
צור משה,Tsur Moshe,Zur Moshe,,,,,
צור נתן,Tsur Natan,Zur Natan,,,,,
צוריאל,Tsuri'el,Zuriel,,,,,
צורית,Tsurit,Zurit,,,,,
צורן,Tsoran,Zoran,,,,,
צוחר,Tsohar,Zochar,Zohar,,צחר,,
צלפון,Tselafon,Zelafon,Zlafon,,,,
ציפורי,Tsippori,Zipori,,,צפורי,,
צפריה ,Tsafriyya,Zafriya,,,צפרייה,,
צפרירים,Tsafririm,Zafririm,,,,,
צפת,Safed,Tsefat,Safad,,,,
צרופה,Tserufa,Zrufa,,,,,
צרעה,Tsor'a,Zora'a,,,,,
קבוצת יבנה,Kevutsat Yavne,Kvuzat Yavne,,,קבצת יבנה,,
 קדומים,Kedumim,,,,,,
קדימה,Kadima,,,,,,
קדמה,Kedma,,,,,,
קידמת צבי,Kidmat Tsevi,Kidmat Zvi,,,קדמת צבי,,
קדר,Kedar,,,,,,
קידרון,Kidron,,,,קדרון,,
קדרים,Kaddarim,Kadarim,,,,,
קוממיות,Komemiyyut,Komemiyut,,,,,
קורנית,Koranit,,,,,,
קטורה,Ket'jra,,,,,,
קיסריה,Caesarea,Kesariyya,Kesariya,,קיסרייה,,
קלחים,Kelahim,,,,,,
קליה,Kalya,,,,,,
קלע,Kela,,,,,,
קציר-חריש,Katsir-Harish,,,,,,
קצרין,Katsrin,,,,,,
קרית אונו,Kiryat Ono,,,,קריית אונו,,
קרית ארבע,Kiryat Arba,,,,קריית ארבע,,
קרית אתא,Kiryat Ata,,,,קריית אתא,,
קרית ביאליק,Kiryat Bialik,,,,קריית ביאליק,,
קרית גת,Kiryat Gat,,,,קריית גת,,
קרית טבעון,Kirya Tivon,,,,קריית טבעון,קריית טיבעון,
קרית ים,Kiryat Yam,,,,קריית ים,,
קרית יערים,Kiryat Ye’arim,,,,קריית יערים,,
קרית יערים (מוסד),Kiryat Ye'arim (School),,,,קריית יערים (מוסד),,
קרית מוצקין,Kiryat Motzkin,Kiryat Mozkin,,,קריית מוצקין,,
קרית מלאכי,Kiryat Mal'akhi,Kiryat Malachi,,,קריית מלאכי,,
קרית נטפים,Kiryat Netafim,,,,קריית נטפים,,
קרית ענבים,Kiryat Anavim,,,,קריית ענבים,,
קרית עקרון,Kiryat Ekron,,,,קריית עקרון,,
קרית שלמה,Kiryat Shelomo,Kiryat Shlomo,,,קריית שלמה,,
קרית שמונה,Kiryat Shemona,,,,קריית שמונה,,
קרני שומרון,Karne Shomron,Karnei Shomron,,,,,
קשת,Keshet,,,,,,
ראש העין,Rosh Ha'ayin,,,,,,
ראש פינה,Rosh Pina,,,,ראש פנה,,
ראש צורים,Rosh Tsurim,Rosh Zurim,,,,,
ראשון לציון,Rishon Letsiyon,Rishon LeZion,,,"רשל""צ",,
רבבה,Revava,,,,,,
רבדים,Revadim,,,,,,
רביבים,Revivim,,,,,,
רביד,Ravid,,,,,,
רגבה,Regba,,,,,,
רגבים,Regavim,,,,,,
רוח מדבר,Ru'ah Midbar,Ruach Midbar,,,,,
רווחה,Revaha,,,,רוחה,,
רוויה ,Revaya,,,,רויה,,
רועי,Ro'i,Roy,,,,,
רחוב,Rehov,Rechov,,,,,
רחובות,Rehovot,,,,,,
רוחמה,Ruhama,,,,רחמה,,
ריחן,Rehan,Rechan,,,,,
רכסים,Rekhasim,,,,,,
רם-און,Ram-On,,,,,,
רימונים,Rimmonim,Rimonim,,,רמונים,,
רמות,Ramot,,,,,,
רמות השבים,Ramot Hashavim,,,,,,
רמות מאיר,Ramot Me'ir,,,,,,
רמות מנשה,Ramot Menashe,,,,,,
רמות נפתלי,Ramot Naftali,,,,,,
רמלה,Ramta,,,,,,
רמת אפעל,Ramat Efal,,,,,,
רמת גן,Ramat Gan,,,,,,
רמת דוד,Ramat David,,,,רמת דוויד,,
רמת הכובש,Ramat Hakovesh,,,,,,
רמת השופט,Ramat Hashofet,,,,,,
רמת השרון,Ramat Hasharon,,,,,,
רמת יוחנן,Ramat Yohanan,,,,,,
רמת ישי,Ramat Yishai,,,,,,
רמת מגשימים,Ramat Magshimim,,,,,,
רמת פנקס,Ramat Pinkas,,,,,,
רמת צבי,Ramat Tsevi,Ramat Zvi,,,,,
רמת רזיאל,Ramat Razi’el,,,,,,
רמת רחל,Ramat Rahel,Ramat Rachel,,,,,
רנן,Rannen,Renen,,,,,
רינתיה,Rinnatya,Rinatya,,,רנתיה,,
רעים,Re'im,,,,,,
רעננה,Ra'ananna,Ranana,,,,,
רקפת,Rakkefet,Rakefet,,,,,
רשפון,Rishpon,,,,,,
רשפים,Reshafim,,,,,,
רותם,Rotem,,,,רתם,,
רתמים,Retamim,,,,,,
שאר ישוב,She'ar Yeshuv,,,,,,
שבי ציון,ShaveTsiyyon,Shave Zion,,,,,
שבי שומרון,Shave Shomron,,,,,,
שיבולים,Shibbolim,Shibolim,,,שבולים,,
שגב,Segev,,,,,,
שגב-שלום,Segev Shalom,,,,,,
שדה אילן,Sede Ilan,Sade Ilan,,,,,
שדה אליהו,Sede Eliyahu,Sade Eliyahu,,,,,
שדה אליעזר,Sede Eli'ezer,Sade Eli'ezer,,,,,
שדה בוקר,Sede Boker,Sade Boker,,,,,
שדה דוד,Sede David,Sade David,,,,,
שדה ורבורג,Sede Warburg,Sade Warburg,Sade Varburg,Sede Varburg,,,
שדה יואב,Sede Yo'av,Sade Yo'av,,,,,
שדה יעקב,Sede Ya'akov,Sade Ya'akov,,,שדה יעקוב,,
שדה יצחק,Sede Yits'hak,Sade Yits'hak,Sede Yizhak,Sade Yizhak,,,
שדה משה,Sede Moshe,Sade Moshe,,,,,
שדה נחום,Sede Nahum,Sade Nahum,,,,,
שדה נחמיה,Sede Nehemya,Sade Nehemya,,,,,
שדה ניצר,Sede Nitsan,Sade Nitsan,Sede Nizan,Sade Nizan,שדה נצן,,
שדה עוזיהו,Sede Uzziyyahu,Sade Uzziyyahu,Sede Uziyahu,Sade Uziyahu,שדה עזיהו,,
שדה צבי,Sede Tsevi,Sade Tsevi,Sede Zvi,Sade Zvi,,,
שדות ים,Sedot Yam,Sdot Yam,,,,,
שדות מיכה,Sedot Mikha,Sdot Mikha,Sedot Micha,Sdot Micha,,,
שדי אברהם,Sede Avraham,Sade Avraham,,,,,
שדה חמד,Sede Hemed,Sade Hemed,,,,,
שדי תרומות,Sede Terumot,Sade Terumot,Sde Trumot,,,,
שדמה,Shedema,Shdema,,,,,
שדמות דבורה,Shadmot Devora,,,,,,
שדמות מחולה,Shadmot Mehola,,,,,,
שדרות,Sederot,Sderot,,,,,
שוהם,Shoham,,,,שהם,,
שואבה,Sho'eva,,,,,,
שובה,Shuva,,,,,,
שובל,Shoval,,,,,,
שומרה,Shomera,,,,,,
שומרייה,Shomeriyya,Shomriya,,,שומריה,,
שוקדה,Shokeda,,,,,,
שושנת העמקים,Shoshannat Ha'amakim,Shoshanat Ha'amakim,,,,,
שזור,Shezor,,,,,,
שחר,Shahar,Shachar,,,,,
שחרות,Shaharut,Shacharut,,,,,
שיטים,Shittim,Shitim,,,שטים,,
שילה,Shilo,,,,,,
שילת,Shilat,,,,,,
שכניה,Shekhenya,Shchanya,,,,,
שלווה,Shalva,,,,שלוה,,
שלוחות,Sheluhot,,,,,,
שלומי,Shelomi,Shlomi,,,,,
שלמציון,Shelomtsiyyon,Shlomzion,Shelomzion,,,,
שמיר,Shamir,,,,,,
שמעה,Shim'a,,,,,,
שמרת,Shomrat,,,,,,
שמשית,Shimshit,,,,,,
שני,Shani,,,,,,
שניר,Senir,,,,,,
שעל,Sha'al,,,,,,
שעלבים,Sha'alvim,,,,,,
שער אפרים,Sha'ar Efrayim,,,,,,
שער הגולן,Sha'ar Hagolan,,,,,,
שער העמקים,Sha'ar Ha'amakim,,,,,,
שער מנשה,Sha'ar Menashe,,,,,,
שערי תקווה,Sha'are Tikva,Sha'arei Tikva,,,שערי תקוה,,
שפיים,Shefayim,Shfayim,,,,,
שפיר,Shafir,,,,,,
שפר,Shefer,,,,,,
שקד,Shaked,,,,,,
שקף,Shekef,,,,,,
שרונה,Sharona,,,,,,
שריגים (לי-און),Sarigim,Srigim,,,,,
שריד,Sarid,,,,,,
שורש,Shoresh,,,,שרש,,
שורשים,Shorashim,,,,שרשים,,
שרשרת,Sharsheret,,,,,,
שתולה,Shetula,,,,,,
שתולים,Shetulim,,,,,,
תאשור,Te'ashur,,,,,,
תדהר,Tidhar,,,,,,
תובל,Tuval,,,,,,
תושייה,Tushiyya,Tushiya,,,תושיה,,
צבי - תחנת ניסיונות,"Tsevi , Research Center",,,,,,
תירוש,Tirosh,,,,,,
תל אביב-יפו,Tel Aviv-Yafo,Tel Abib-Yafa,Tel Aviv-Jaffa,Tel Aviv-Yaffo,,,
תל יוסף,Tel Yosef,,,,,,
תל יצחק,Tel Yits'hak,,,,,,
תל מונד,Tel Mond,,,,,,
תל עדשים,Tel Adashim,,,,,,
תל עמל ,Tel Amal,Nir David,,,ניר דוד,ניר דוויד,
תל קציר,Tel Katsir,Tel Kazir,,,,,
תל שבע,Tel Sheva,,,,,,
תל תאומים,Tel Te'omim,,,,,,
תלם,Telem,,,,,,
תלמי אליהו,Talme Eliyahu,Talmei Eliyahu,Talme Eliyyahu,,,,
תלמי אלעזר,Talme El'azar,Talmei Elazar,,,,,
"תלמי ביל""ו",Talme Bilu,Talmei Bilu,,,,,
תלמי יוסף,Talme Yosef,Talmei Yosef,Talme Yossef,,,,
תלמי יחיאל,Talme Yehi'el,Talmei Yechiel,Talmei Yehiel,,,,
תלמי יפה,Talme Yafe,Talmei Yaffe,Talmei Yafe,,,,
תלמים,Telamim,,,,,,
תימורים,Timmorim,Timorim,,,תמורים,,
תומר,Tomer,,,,תמר,,
תמרת,Timrat,,,,,,
תנובות,Tenuvot,,,,,,
תעוז,Ta'oz,,,,תעז,,
תפרח,Tifrah,Tifrach,,,,,
תקומה,Tekuma,Tkuma,,,,,
תקוע,Teko'a,Tko'a,,,,,
תרדיון,Teradyon,,,,,,
תרום,Tarom,,,,,,
עצמון-שגב,Atsmon-Segev,Azmon-Segev,,,,,
כרם עמי,Kerem Ami,,,,,,
נטעים,Neta',,,,,,
בני דקלים,Bene Dekalim,Benei Dkalim,,,,,
בני נצרים,Bene Netsarin,Benei Nezarin,,,,,
נווה,Nave,,,,נוה,,
שלומית,Shelomit,,,,,,
גבעות עדן,Giv'ot Eden,,,,,,
ניצן ב',Nitsan B',Nizan B',,,נצן ב',,
מצפה אילן,Mitspe Ilan,Mizpe Ilan,,,,,
מולדה,Molada,,,,,,
א-סייד,Al-Sayid,,,,,,
כוחלה,Kuhla,Kuchla,,,כחלה,,
פארק אריאל שרון,Ari'el Sharon Park,,,,,,
